,mpID,Chemical Formula,no. of elements,Total no. of atoms,Space Group,Space Group Number,Shear_Modulus,Bulk_Modulus,density,band-gap,stability,icsd_ID,v_L,v_T,v
280,492,Ti1N1,2,2,Fm-3m,225,180.0,259.0,5.340297397189084,0.0,0,,9665.880903127458,5805.685833956689,6421.833011695106
281,493,Co4B2,2,6,I4/mcm,140,104.0,247.0,8.18470883410106,0.0,0.07863492833334451,,6864.120757329334,3564.634881287711,3989.458656567557
282,495,Lu1Ga3,2,4,Pm-3m,221,31.0,61.0,8.472409154111016,0.0,0,,3475.226953733686,1912.834457644024,2131.969915729288
283,496,Sr4Si8,2,12,P4_332,212,31.0,58.0,3.3773414154340307,0.0,0.0030944808333330798,,5422.9728670421855,3029.6563098258102,3372.7905368179604
284,499,Ag2O2,2,4,Cccm,66,10.0,113.0,6.752472846996688,0.0,0,,4325.355669268163,1216.9383480280137,1387.913852112092
285,500,Ta2Se4,2,6,P6_3/mmc,194,13.0,22.0,7.856741044387198,0.0,0.004467916666667016,,2237.3567182639276,1286.3242483935082,1428.5873781751823
286,501,Ta4Se8,2,12,P6_3/mmc,194,16.0,23.0,7.84025163386955,0.0,0.01310513583333428,,2377.793128972049,1428.5485032969796,1580.119132756652
287,503,Th1S1,2,2,Fm-3m,225,35.0,116.0,9.376055458032786,0.0,0,,4165.0826643127675,1932.0748106126205,2176.058487937274
288,504,Cu6S6,2,12,P6_3/mmc,194,25.0,80.0,4.641682754618624,0.0,0.001282472499998022,,4941.116989378718,2320.7709369112586,2612.265179245163
289,506,Mg1Pd1,2,2,Pm-3m,221,12.0,94.0,6.693303319101483,0.0,0,,4053.854835928992,1338.9685301357138,1523.6402936319382
290,507,Si2Ni4,2,6,P6_3/mmc,194,58.0,203.0,7.353357172029915,0.0,0.04749394916666638,,6174.183939188831,2808.478904767152,3166.001631835742
291,514,Hf2Zn4,2,6,Fd-3m,227,58.0,113.0,10.32375427190673,0.0,0,,4293.550142896348,2370.255523847708,2641.1897064143404
292,517,Ta3Si6,2,9,P6_222,180,142.0,185.0,8.942224433847842,0.0,5.75444444450568e-06,,6469.62351419291,3984.936353638008,4396.643549883489
293,522,Cu1Au1,2,2,P4/mmm,123,28.0,135.0,14.400352705082321,0.0,0,,3459.2848018578716,1394.416300657328,1579.1547085804432
294,527,Ba1Cd1,2,2,Pm-3m,221,13.0,23.0,5.290471126876634,0.0,0,,2760.9691397003376,1567.561187464137,1742.793456523527
295,534,B13N2,2,15,R-3m,166,161.0,243.0,2.5906814973505803,0.0,0.13568922588888999,,13290.525867879096,7883.2613783587285,8730.41810837168
296,535,Fe4N1,2,5,Pm-3m,221,57.0,193.0,7.950674696125408,0.0,0.0698627209999998,,5816.460855334777,2677.5367203605388,3016.74316864131
297,538,Ca2Ag2,2,4,Cmcm,63,11.0,20.0,4.468633593719101,0.0,0,,2785.131470040511,1568.9495159885444,1745.4698785854666
298,539,Ga4S6,2,10,Cc,9,23.0,31.0,3.4364964069602886,1.6980999999999997,0,,4235.847258633866,2587.0568415345433,2856.8414922018073
299,540,Sc2Fe4,2,6,Fd-3m,227,65.0,128.0,6.150369143103025,0.0,0.13160502333333302,,5907.582520144475,3250.91853740773,3623.4085452643385
300,541,Ta6Sb2,2,8,Pm-3n,223,84.0,185.0,14.800719120005457,0.0,0,,4479.36387762008,2382.3097851861135,2661.929731376829
301,542,Sr1Hg1,2,2,Pm-3m,221,18.0,81.0,7.325554265269652,0.0,0,,3785.8377363489444,1567.5305282941652,1773.634498830978
302,544,Ti6Ir2,2,8,Pm-3n,223,13.0,169.0,8.833383915301757,0.0,0,,4592.790901882991,1213.13217990824,1384.450311691083
303,546,Ho2Rh4,2,6,Fd-3m,227,60.0,158.0,11.469274582650787,0.0,0,,4555.1455134338685,2287.218473542835,2565.191420624338
304,548,Nb2Cr4,2,6,Fd-3m,227,64.0,228.0,7.767773427042093,0.0,0,,6350.972609602491,2870.3953133695727,3236.7259754156726
305,549,Sc1Sb1,2,2,Fm-3m,225,35.0,65.0,5.412533873847734,0.0,0,,4541.9126149486765,2542.925919487389,2830.4415424971558
306,550,Al12Mo1,2,13,Im-3,204,57.0,91.0,3.195666339887361,0.0,0.014431331846153306,,7228.57705183524,4223.346496079451,4683.743169373895
307,551,Ba2Al4,2,6,Fd-3m,227,32.0,42.0,4.079686444644498,0.0,0.044320344696969105,,4555.284220546946,2800.6677883080765,3090.612555038797
308,555,Fe8N1,2,9,I4/mmm,139,88.0,182.0,7.568512701614803,0.0,0.0027167638888894174,,6288.556806907071,3409.8561972750317,3804.7877467928884
309,556,Zr2Ni2,2,4,Cmcm,63,35.0,138.0,7.396409090426719,0.0,0,,4996.548116938444,2175.3220413155145,2456.7871654983296
310,557,Te4O8,2,12,P4_12_12,92,28.0,30.0,5.635898534186431,2.8134999999999994,0.01109241708333819,,3456.235867376339,2228.935148917344,2446.675909836339
311,559,Y1Pd3,2,4,Pm-3m,221,56.0,126.0,9.550771877491494,0.0,0,,4583.509983157763,2421.445939306121,2706.914162103913
312,560,Tm1Au2,2,3,I4/mmm,139,41.0,103.0,15.06598319729375,0.0,0,,3234.836839239501,1649.655232843003,1848.397918662642
313,562,Sb8Pt4,2,12,Pa-3,205,54.0,104.0,10.372569216725067,0.0,0,,4118.992050071194,2281.674607014531,2541.8061872531493
314,563,C6N8,2,14,Fd-3m,227,174.0,364.0,3.9195500984973224,0.8788,1.4979647422114262,,12330.590843816912,6662.79596750375,7436.387343007752
315,564,Te2Pd2,2,4,P6_3/mmc,194,20.0,98.0,8.797556722515212,0.0,0,,3764.28522822557,1507.7660493990427,1707.8618570034253
316,565,Sn4Rh2,2,6,I4/mcm,140,46.0,108.0,9.246736772881647,0.0,0.009491409999995426,,4279.148100438023,2230.409819746468,2495.620353900754
317,568,Ti2Sb4,2,6,I4/mcm,140,54.0,89.0,7.376419290265216,0.0,0,,4671.602281608358,2705.665365909963,3002.9669490782444
318,569,Nd1Co5,2,6,P6/mmm,191,32.0,118.0,8.481168787237744,0.0,0.15541525312499882,,4352.318023225821,1942.437867499491,2191.5360515929206
319,570,Nd1Te1,2,2,Fm-3m,225,19.0,56.0,7.004352220632772,0.0,0,,3407.4805669252232,1646.997014913435,1851.1376518581656
320,571,Ti1Ni1,2,2,Pm-3m,221,27.0,160.0,6.598154614729437,0.0,0.0487028750000027,,5450.1294835960225,2022.8824099942765,2296.2182461558687
321,572,Sm1Cd1,2,2,Pm-3m,221,18.0,52.0,7.824250076782614,0.0,0,,3116.50832148245,1516.7530996447995,1704.1176714393075
322,573,Ni3Se4,2,7,C2/m,12,34.0,91.0,6.970515163797233,0.0,0.03166628857142584,,4422.32378147578,2208.5489043220955,2477.7524633400635
323,574,Ta4Co2,2,6,I4/mcm,140,79.0,222.0,14.931410892573256,0.0,0,,4681.954871950894,2300.186881445768,2582.9854131568045
